1a1r_A|P27958|AC=BC	1a1r_C|O39914|AC=BC
7oui_B|P56777|BU	7oui_U|Q39195|BU
7oui_E|P56779|EU	7oui_U|Q39195|EU
7owm_A|P30419|AC	7owm_C|P84074|AC
7p49_A|P13747|AP	7p49_P|P9WQE5|AP
7pkq_y|A8JI15|yu	7pkq_u|A8J1A6|yu
7pno_A|Q9IK91|AB	7pno_B|Q9IK92|AB
7q3l_A|O75533|Ap	7q3l_p|Q7L014|Ap
7q41_A|O95714|AB	7q41_B|Q05086|AB
7q44_A|O95714|AB	7q44_B|Q9P2H5|AB
7q45_A|O95714|AB	7q45_B|Q01538|AB
7q46_A|O95714|AB	7q46_B|Q15154|AB
7qfb_A|P62136|AB	7qfb_B|Q9UQK1|AB
7qoh_B|A0A385DVU6|Bl=Cl	7qoh_l|A0A385DT68|Bl=Cl
7qtt_W|Q9HCG8|WL	7qtt_L|Q9BRD0|WL
7r1v_A|P0A940|AB	7r1v_B|A0A1C0U7H2|AB
7r6k_w|P25582|wg	7r6k_g|P87262|wg
7rfx_A|P52293|AB	7rfx_B|K9N643|AB
7rg6_A|P52293|AC	7rg6_C|A3EXD3|AC
7s46_A|O96013|AB	7s46_B|P18084|AB
7s4q_A|Q1D6H4|AF	7s4q_F|Q1D3Y8|AF
7s8s_A|U5YJK1|AC	7s8s_C|P03502|AC
7smc_A|P28749|AB	7smc_B|P29374|AB
7sme_A|P28749|AB	7sme_B|Q13547|AB
7t2u_B|P0DTD1|BE	7t2u_E|Q9Y6K9|BE
7tlj_F|Q02760|FD	7tlj_D|P16536|FD
7tlj_G|Q02762|GD	7tlj_D|P16536|GD
7tmy_I|P52293|IA	7tmy_A|Q8TAT5|IA
7tt7_E|P0A937|EC	7tt7_C|P0A903|EC
7ttc_A|P0A940|AP	7ttc_P|O32591|AP
7tuc_A|D5H3J5|AP	7tuc_P|Q9TQB0|AP
7ufg_A|Q13219|AC	7ufg_C|P24593|AC
7ugb_A|P63086|AI	7ugb_I|Q96AZ6|AI
7uhe_A|P35189|AB	7uhe_B|P23255|AB
7uiq_A|Q9UQM7|AC=BC	7uiq_C|Q60610|AC=BC
7ukn_A|Q16531|AB	7ukn_B|F5HF44|AB
7v8l_C|P0ADC3|CA	7v8l_A|P69411|CA
7v8l_E|P75958|EA	7v8l_A|P69411|EA
7vpw_A|Q92973|AB	7vpw_B|Q92560|AB
7vvu_D|P02281|DX	7vvu_X|P43572|DX
7vvu_N|P06897|NX	7vvu_X|P43572|NX
7vwo_A|P9WF55|AD=BD	7vwo_D|P9WL41|AD=BD
7w5c_A|Q39024|AQ	7w5c_Q|Q94A06|AQ
7w64_A|P23476|AG=CG	7w64_G|P0C6Q5|AG=CG
7weg_B|E9Q9W7|BC	7weg_C|Q3USJ8|BC
7wic_R|P30874|RL	7wic_L|P61278|RL
7x2e_A|Q9Y6N9|AB	7x2e_B|E9Q7P9|AB
7x3x_C|P06897|CV	7x3x_V|P38144|CV
7xf3_A|D9J307|AC	7xf3_C|Q71UK7|AC
7xjl_F|O43603|FA	7xjl_A|Q9BT56|FA
7xpk_A|B9EY07|AB	7xpk_B|Q6K4E6|AB
7xqu_A|Q95482|AC	7xqu_C|P25909|AC
7xuv_A|P27694|AB	7xuv_B|Q9H9A7|AB
7xv1_A|P27694|AB	7xv1_B|Q8NG08|AB
7y04_B|P11499|BE	7y04_E|P30561|BE
7y60_L|Q13112|LK	7y60_K|Q13111|LK
7yc2_C|Q9C0D3|CE	7yc2_E|A0A663DJA2|CE
7yf3_A|Q9H1A3|AC	7yf3_C|P31725|AC
7ymi_C|B0C1V7|CT	7ymi_T|B0C605|CT
7ymi_L|B0C6T1|LT	7ymi_T|B0C605|LT
7ymi_M|B0CFM0|MT	7ymi_T|B0C605|MT
7ymi_Z|B0C0S7|ZY	7ymi_Y|A0AAJ6N611|ZY
7yq3_F|P06213|FB	7yq3_B|F8WCM5|FB
7z4a_A|A0A0B4N231|AO=NO	7z4a_O|A0A0B4N0B9|AO=NO
7z8y_A|O94901|AD=BD	7z8y_D|Q12912|AD=BD
7zqi_A|O98187|AF	7zqi_F|Q9KT74|AF
7zqj_A|O98187|AF	7zqj_F|P9WKZ5|AF
7zwa_A|P12956|AC	7zwa_C|Q9BUH6|AC
7zwa_B|P13010|BC	7zwa_C|Q9BUH6|BC
7zzq_G|Q76KJ6|GS=HS=LS	7zzq_S|D5QCK0|GS=HS=LS
8ac1_C|P0A8V2|CE	8ac1_E|P0A800|CE
8ac1_D|P0A8T7|DE	8ac1_E|P0A800|DE
8ahy_B|P62166|BP	8ahy_P|Q80ZG1|BP
8ai2_A|Q45595|AC	8ai2_C|Q45596|AC
8ari_A|Q13363|Aa=Ga	8ari_a|Q9Y5P3|Aa=Ga
8b5r_B|P55072|BX	8b5r_X|Q14CS0|BX
8bed_G|Q9FGI6|GI	8bed_I|Q42599|GI
8bed_G|Q9FGI6|GW	8bed_W|Q9LHI0|GW
8bed_R|Q9M9M6|RI	8bed_I|Q42599|RI
8bft_A|P30177|AB	8bft_B|P42641|AB
8by6_A|Q09161|AC	8by6_C|Q53F19|AC
8cav_A|D1A2F7|AD	8cav_D|D1A2F9|AD
8caz_S|P0A7U3|S4	8caz_4|P0A7M9|S4
8cgv_w|P0A7M2|wh	8cgv_h|P0A7R1|wh
8cqy_A|P26045|AB	8cqy_B|P78536|AB
8csp_B|Q9Y399|BQ	8csp_Q|P82921|BQ
8csp_G|P82933|GQ	8csp_Q|P82921|GQ
8csp_W|Q9Y2Q9|WQ	8csp_Q|P82921|WQ
8d5e_A|P01900|AP	8d5e_P|P62915|AP
8d5j_A|P01902|AC	8d5j_C|Q99KP6|AC
8des_A|A0A6G9L6B3|AE	8des_E|A0A6G9L8Z7|AE
8dgh_A|P0DP23|AB	8dgh_B|Q14028|AB
8djq_A|G7CIP4|AE	8djq_E|P9WNT7|AE
8e2c_A|Q2FYI5|AC	8e2c_C|Q2G2X6|AC
8ebl_A|Q9Y2U9|AC	8ebl_C|P29323|AC
8egr_H|A0A1S6L1H9|HM	8egr_M|A0A1S6L1H7|HM
8egs_Y|A0A1S6L1I1|YI	8egs_I|A0A1S6L1H8|YI
8eir_A|P0DTD1|AC	8eir_C|P0DTC1|AC
8eq5_A|P51812|AB	8eq5_B|Q7Z698|AB
8eqs_B|P59632|BC	8eqs_C|P02647|BC
8f2m_D|P13849|DC	8f2m_C|P13848|DC
8f2q_A|P52293|AB	8f2q_B|Q9PZT1|AB
8f5q_A|P12004|AB	8f5q_B|Q8NFZ0|AB
8fe7_A|O15294|AB	8fe7_B|Q9H0W8|AB
8fhl_A|P01900|AC	8fhl_C|Q8NCN5|AC
8gnn_C|O60671|CD	8gnn_D|O75943|CD
8gsv_A|Q16611|AB	8gsv_B|Q8NFP0|AB
8h0p_R|P28336|RL	8h0p_L|P08949|RL
8h0q_R|P30550|RL	8h0q_L|P07492|RL
8h2u_B|P09144|BI	8h2u_I|A8IFG7|BI
8h2u_H|P13352|HI	8h2u_I|A8IFG7|HI
8h2u_L|A8IL32|LI	8h2u_I|A8IFG7|LI
8hib_A|P81877|AD=BD	8hib_D|Q9BRQ0|AD=BD
8hib_V|Q86U70|VD	8hib_D|Q9BRQ0|VD
8hqy_C|P04908|CS	8hqy_S|Q16385|CS
8hqy_D|O60814|DS	8hqy_S|Q16385|DS
8hqy_U|P0CG47|US	8hqy_S|Q16385|US
8i17_B|P06899|BC	8i17_C|Q9Y5B9|BC
8iaq_M|P03911|MX	8iaq_X|Q9DCJ5|MX
8iaq_N|P03893|NX	8iaq_X|Q9DCJ5|NX
8iaq_d|Q9CQ54|dX	8iaq_X|Q9DCJ5|dX
8iaq_e|Q99LY9|eX	8iaq_X|Q9DCJ5|eX
8iaq_h|Q9CQH3|hX	8iaq_X|Q9DCJ5|hX
8igc_A|Q16611|AB	8igc_B|P0C671|AB
8ihm_C|P06897|CM	8ihm_M|Q04779|CM
8ihm_D|P02281|DM	8ihm_M|Q04779|DM
8imx_K|Q92643|KD	8imx_D|Q9BZM5|KD
8imx_S|Q96S52|SD	8imx_D|Q9BZM5|SD
8imz_A|E2JF22|AD	8imz_D|Q8BX65|AD
8ivz_A|P26039|AC	8ivz_C|Q14678|AC
8jav_B|Q92624|BF	8jav_F|Q13084|BF
8je2_D|Q9UK73|DH	8je2_H|Q8TF40|DH
8jhv_A|P01901|AC	8jhv_C|A0A7S7LF56|AC
8jj9_A|Q658Y4|AC	8jj9_C|Q9NUY8|AC
8jv0_A|B1A9P1|AC	8jv0_C|P0C9J3|AC
8jzw_A|Q13185|AE=BE=CE	8jzw_E|O15016|AE=BE=CE
8ovc_M|A0R051|MY	8ovc_Y|A0QQQ1|MY
8p7l_J|P50613|JH	8p7l_H|P51948|JH
8p9r_A|P0ABV2|AC=BC	8p9r_C|P02929|AC=BC
8phe_A|Q9H845|AC=BC	8phe_C|Q9BQ95|AC=BC
8pk6_C|Q9NVM9|CD	8pk6_D|Q8N720|CD
8pnt_A|Q09161|AC	8pnt_C|Q9H814|AC
8q6p_3|P49739|3L	8q6p_L|Q5U4U4|3L
8q7i_A|G0SF70|AP	8q7i_P|G0S2B5|AP
8q7q_A|Q6P2Q9|AB	8q7q_B|O75643|AB
8q9q_A|Q05BX2|AX=BX	8q9q_X|Q8WUI4|AX=BX
8qp8_A|Q6P2Q9|A7	8qp8_7|Q15459|A7
8qp8_A|Q6P2Q9|AX	8qp8_X|Q8WVK2|AX
8qp8_D|P83876|D7	8qp8_7|Q15459|D7
8qp8_S|O43290|SX	8qp8_X|Q8WVK2|SX
8r2i_A|P07753|AI	8r2i_I|P59763|AI
8r2i_C|P10898|CI	8r2i_I|P59763|CI
8r6f_k|W5E2W7|kh	8r6f_h|A0A3B5XY60|kh
8rgh_C|Q8WVS4|CE	8rgh_E|Q8TCX1|CE
8rks_E|Q9UBQ0|EI	8rks_I|Q641Q2|EI
8rn4_A|Q5V8Z9|AE=DE	8rn4_E|Q5V8Y6|AE=DE
8rn5_A|Q5V8Z9|AE	8rn5_E|Q5V8Z9|AE
8rn5_B|Q5V8Y6|BE	8rn5_E|Q5V8Z9|BE
8rng_A|S6AU73|AC	8rng_C|Q2PIM0|AC
8rt6_W|O50336|Wu	8rt6_u|O50337|Wu
8rxb_A|Q92900|AB	8rxb_B|Q86US8|AB
8s8o_A|P13861|AC=BC	8s8o_C|P15146|AC=BC
8sao_B|A0A6H0TJ16|BA	8sao_A|A0A7U1BAR4|BA
8sg8_E|P48643|EN	8sg8_N|O14775|EN
8suv_A|Q9UNE7|AF	8suv_F|Q9UKJ5|AF
8sw5_A|P62136|AC	8sw5_C|Q96QC0|AC
8t0p_A|P53298|AC	8t0p_C|P36012|AC
8t0p_B|P38313|BC	8t0p_C|P36012|BC
8t19_A|U5Q0A7|AB	8t19_B|U5Q0A5|AB
8t31_A|O95166|AB	8t31_B|Q8IXH6|AB
8t42_A|P68363|AN	8t42_N|A4Q9E8|AN
8t42_B|P07437|BN	8t42_N|A4Q9E8|BN
8t4s_C|P15880|Cn	8t4s_n|K9N7C7|Cn
8t4s_D|P23396|Dn	8t4s_n|K9N7C7|Dn
8t9d_C|O75586|C9	8t9d_9|Q9UHV7|C9
8tah_A|P61157|AH	8tah_H|Q60598|AH
8tgf_A|Q09490|AB	8tgf_B|Q18892|AB
8tuv_A|P52293|AB	8tuv_B|T2HFI5|AB
8tuv_A|P52293|AC	8tuv_C|P0A7R9|AC
8twe_A|P30153|AC	8twe_C|P67775|AC
8twe_B|P63151|BC	8twe_C|P67775|BC
8twe_B|P63151|BD	8twe_D|Q96E09|BD
8txv_G|P04908|GK	8txv_K|Q8IYW5|GK
8txv_H|P62807|HK	8txv_K|Q8IYW5|HK
8tzx_A|Q96SW2|AC	8tzx_C|O95785|AC
8u36_A|P52293|AB	8u36_B|Q9IIH8|AB
8u77_A|P35189|AB=CB	8u77_B|Q08465|AB=CB
8uha_V|Q8WX92|VX	8uha_X|P18615|VX
8ujh_A|A0A125YMZ8|AC	8ujh_C|S8EZL1|AC
8w2o_M|Q06217|MI	8w2o_I|Q07508|MI
8w2o_Q|P40204|QI	8w2o_I|Q07508|QI
8w6a_A|O95166|AC=GC	8w6a_C|Q86VP1|AC=GC
8w6l_A|B1A9P1|AC	8w6l_C|Q89702|AC
8wb4_F|A0A222AI51|FJ	8wb4_J|A0A222AI54|FJ
8wgo_A|A0A0H2ZMF7|AC	8wgo_C|A0A0B7LTC5|AC
8wqa_B|Q9UK73|BK	8wqa_K|Q8N998|BK
8wqe_B|Q9UK73|BK	8wqe_K|Q13948|BK
8wss_R|Q99705|RL	8wss_L|P20382|RL
8wz2_R|Q96P65|RL	8wz2_L|Q8CE23|RL
8x8a_A|Q9H0R8|AB	8x8a_B|O95210|AB
8x91_A|O00555|AX	8x91_X|P37300|AX
8xes_A|A0A0G2JPD3|AC	8xes_C|P03101|AC
8xzg_R|P35414|RL	8xzg_L|Q9ULZ1|RL
8y74_A|O46789|AC	8y74_C|A0A023PU38|AC
8zjd_R|Q969F8|RL	8zjd_L|Q15726|RL
8zlz_B|Q8YXC3|BD	8zlz_D|Q8YYI1|BD
9ild_A|P0DTF3|AB	9ild_B|P0DTF0|AB
